ETC Registers

Sl.no,Register Address,Value
1249,f4e0,0000
1250,f4e1,0000
1251,f4e2,0000
1252,f4e3,0000
1253,f4e4,0000
1254,f4e5,0000
1255,f4e6,0000
1256,f4e7,0000
1257,f4e8,0000
1258,f4e9,0000
1259,f4ea,0000
1260,f4eb,0000
1261,f4ec,0000
1262,f4ed,0000
1263,f4ee,0000
1264,f4ef,0000
1265,f4f0,0000
1266,f4f1,0000
1267,f4f2,0000
1268,f4f3,0000
1269,f4f4,0000
1270,f4f5,0000
1271,f4f6,0000
1272,f4f7,0000
1273,f4f8,0000
1274,f4f9,0000
1275,f4fa,0000
1276,f4fb,0000
1277,f4fc,0000
1278,f4fd,0000
1279,f4fe,0000
1280,f4ff,0000
1281,f500,0000
1282,f501,0000
1283,f502,0000
1284,f503,0000
1285,f504,0000
1286,f505,0000
1287,f506,0000
1288,f507,0000
1289,f508,0000
1290,f509,0000
1291,f50a,0000
1292,f50b,0000
1293,f50c,0000
1294,f50d,0000
1295,f50e,0000
1296,f50f,0000
1297,f510,8000
1298,f511,0000
1299,f512,0005
1300,f513,0000
1301,f514,0000
1302,f515,0000
1303,f516,0000
1304,f517,0000
1305,f518,ffff
1306,f519,ffff
1307,f51a,0000
1308,f51b,0000
1309,f51c,0300
1310,f51d,0052
1311,f51e,0000
1312,f51f,0000
1313,f520,0000
1314,f521,0000
1315,f522,0000
1316,f523,0000
1317,f524,0000
1318,f525,0000
1319,f526,0000
1320,f527,0000
1321,f528,0000
1322,f529,0000
1323,f52a,0000
1324,f52b,0000
1325,f52c,0000
1326,f52d,0000
1327,f52e,0000
1328,f52f,0000
1329,f530,0000
1330,f531,0000
1331,f532,0000
1332,f533,0000
1333,f534,0000
1334,f535,0000
1335,f536,0000
1336,f537,0000
1337,f538,0000
1338,f539,0000
1339,f53a,0000
1340,f53b,0000
1341,f53c,0000
1342,f53d,0000
1343,f53e,0000
1344,f53f,0000
1345,f540,0000
1346,f541,0000
1347,f542,0000
1348,f543,0000
1349,f544,0000
1350,f545,0000
1351,f546,0000
1352,f547,0000
1353,f548,0000
1354,f549,0000
1355,f54a,0000
1356,f54b,0000
1357,f54c,0000
1358,f54d,0000
1359,f54e,0000
1360,f54f,0000
1361,f550,0000
1362,f551,0000
1363,f552,0000
1364,f553,0000
1365,f554,0000
1366,f555,0000
1367,f556,0000
1368,f557,0000
1369,f558,0000
1370,f559,0000
1371,f55a,0000
1372,f55b,0000
1373,f55c,0000
1374,f55d,0000
1375,f55e,0000
1376,f55f,0000
1377,f560,0000
1378,f561,0000
1379,f562,0000
1380,f563,0000
1381,f564,0000
1382,f565,0000
1383,f566,0000
1384,f567,0000
1385,f568,0000
1386,f569,0000
1387,f56a,0000
1388,f56b,0000
1389,f56c,0000
1390,f56d,0000
1391,f56e,0000
1392,f56f,0000
1393,f570,0000
1394,f571,0000
1395,f572,0000
1396,f573,0000
1397,f574,0000
1398,f575,0000
1399,f576,0000
1400,f577,0000
1401,f578,0000
1402,f579,0000
1403,f57a,0000
1404,f57b,0000
1405,f57c,0000
1406,f57d,0000
1407,f57e,0000
1408,f57f,0000
1409,f580,0200
1410,f581,7f00
1411,f582,0000
1412,f583,0000
1413,f584,0000
1414,f585,0000
1415,f586,0000
1416,f587,0000
1417,f588,0000
1418,f589,0000
1419,f58a,0000
1420,f58b,0000
1421,f58c,0000
1422,f58d,0000
1423,f58e,0000
1424,f58f,0000
1425,f590,0000
1426,f591,0000
1427,f592,0000
1428,f593,0000
1429,f594,0000
1430,f595,0000
1431,f596,0000
1432,f597,0000
1433,f598,0000
1434,f599,0000
1435,f59a,0000
1436,f59b,0000
1437,f59c,0000
1438,f59d,0000
1439,f59e,0000
1440,f59f,0000
1441,f5a0,0000
1442,f5a1,0000
1443,f5a2,0000
1444,f5a3,0000
1445,f5a4,0000
1446,f5a5,0000
1447,f5a6,0000
1448,f5a7,0000
1449,f5a8,0000
1450,f5a9,0000
1451,f5aa,0000
1452,f5ab,0000
1453,f5ac,0000
1454,f5ad,0000
1455,f5ae,0000
1456,f5af,0000
1457,f5b0,0000
1458,f5b1,0000
1459,f5b2,0000
1460,f5b3,0000
1461,f5b4,0000
