ETC Registers

Sl.no,Register Address,Value
1003,d3ea,0000
1004,d3eb,0000
1005,d3ec,0000
1006,d3ed,0000
1007,d3ee,0000
1008,d3ef,0000
1009,d3f0,0000
1010,d3f1,0000
1011,d3f2,0000
1012,d3f3,0000
1013,d3f4,0000
1014,d3f5,0000
1015,d3f6,0000
1016,d3f7,0000
1017,d3f8,0000
1018,d3f9,0000
1019,d3fa,0000
1020,d3fb,0000
1021,d3fc,0000
1022,d3fd,0000
1023,d3fe,0000
1024,d3ff,0000
1025,d400,0000
1026,d401,0001
1027,d402,0040
1028,d403,0000
1029,d404,0001
1030,d405,0040
1031,d406,0000
1032,d407,0000
1033,d408,0000
1034,d409,0000
1035,d40a,0000
1036,d40b,0000
1037,d40c,0000
1038,d40d,0000
1039,d40e,0000
1040,d40f,0000
1041,d410,0000
1042,d411,0000
1043,d412,0000
1044,d413,0000
1045,d414,0000
1046,d415,0000
1047,d416,0000
1048,d417,0000
1049,d418,0000
1050,d419,0000
1051,d41a,0000
1052,d41b,0000
1053,d41c,0000
1054,d41d,0000
1055,d41e,0000
1056,d41f,0000
1057,d420,0000
1058,d421,0000
1059,d422,0000
1060,d423,0000
1061,d424,0000
1062,d425,0000
1063,d426,0000
1064,d427,0000
1065,d428,0000
1066,d429,0000
1067,d42a,0000
1068,d42b,0000
1069,d42c,0000
1070,d42d,0000
1071,d42e,0000
1072,d42f,0000
1073,d430,0000
1074,d431,0000
1075,d432,0000
1076,d433,0000
1077,d434,0000
1078,d435,0000
1079,d436,0000
1080,d437,0000
1081,d438,0000
1082,d439,0000
1083,d43a,0000
1084,d43b,0000
1085,d43c,0000
1086,d43d,0000
1087,d43e,0000
1088,d43f,0000
1089,d440,0000
1090,d441,0000
1091,d442,0000
1092,d443,0000
1093,d444,0000
1094,d445,0000
1095,d446,0000
1096,d447,0000
1097,d448,0000
1098,d449,0000
1099,d44a,0000
1100,d44b,0000
1101,d44c,0000
1102,d44d,0000
1103,d44e,0000
1104,d44f,0000
1105,d450,0000
1106,d451,0000
1107,d452,0000
1108,d453,0000
1109,d454,0000
1110,d455,0000
1111,d456,0000
1112,d457,0000
1113,d458,0000
1114,d459,0000
1115,d45a,0000
1116,d45b,0000
1117,d45c,0000
1118,d45d,0000
1119,d45e,0000
1120,d45f,0000
1121,d460,0000
1122,d461,0000
1123,d462,0000
1124,d463,0000
1125,d464,0000
1126,d465,0000
1127,d466,0000
1128,d467,0000
1129,d468,0000
1130,d469,0000
1131,d46a,0000
1132,d46b,0000
1133,d46c,0000
1134,d46d,0000
1135,d46e,0000
1136,d46f,0000
1137,d470,0000
1138,d471,0000
1139,d472,0000
1140,d473,0000
1141,d474,0000
1142,d475,0000
1143,d476,0000
1144,d477,0000
1145,d478,0000
1146,d479,0000
1147,d47a,0000
1148,d47b,0000
1149,d47c,0000
1150,d47d,0000
1151,d47e,0000
1152,d47f,0000
1153,d480,0000
1154,d481,0000
1155,d482,0000
1156,d483,0000
1157,d484,0000
1158,d485,0000
1159,d486,0000
1160,d487,0000
1161,d488,0000
1162,d489,0000
1163,d48a,0000
1164,d48b,0000
1165,d48c,0000
1166,d48d,0000
1167,d48e,0000
1168,d48f,0000
1169,d490,0000
1170,d491,0000
1171,d492,0000
1172,d493,0000
1173,d494,0000
1174,d495,0000
1175,d496,0000
1176,d497,0000
1177,d498,0000
1178,d499,0000
1179,d49a,0000
1180,d49b,0000
1181,d49c,0000
1182,d49d,0000
1183,d49e,0000
1184,d49f,0000
1185,d4a0,0000
1186,d4a1,0000
1187,d4a2,0000
1188,d4a3,0000
1189,d4a4,0000
1190,d4a5,0000
1191,d4a6,0000
1192,d4a7,0000
1193,d4a8,0000
1194,d4a9,0000
